descriptor_release_id,xtb_task_index,xtb_task_slug,source_task_index,source_task_slug,candidate_id,component_role,conformer_id,crest_rank,crest_energy_hartree,crest_ensemble_sha256,conformer_xyz_file,conformer_xyz_sha256,atom_count,atom_order_sha256,charge,uhf,xtb_version,xtb_binary_sha256,method,environment_model,electronic_temperature_k,ensemble_temperature_k,selection_status,result_storage_policy,failed_workdir_policy
tpu-reality-xtb-ensemble-20260825-v1,0,0000_000001_cf_0b36833157d92edb7f94,0,reality_commercial_bdo_14,commercial_bdo_14,chain_extender,cf_0b36833157d92edb7f94,1,-21.78364399,7de99e945fc4d749e51efe442fbcd6e4815e5339a9aee30c228fd54af6ae5fcd,输入构象/0000_000001_cf_0b36833157d92edb7f94.xyz,8c533bf4e6b3e1023cd5c2613df766f75534db5d488a290c2b517bc21c37ffc6,16,d814157cafd7e19b083b5f6888802352188fea5cfadaa4177b12ca1ef1b671c5,0,0,6.7.1,debf27a9e0fa4bfb5ca75aafe4b90d8211f08ec2f4a482f375a4987212eaa12a,GFN2-xTB,gas_phase,300,298.15,selected_all_crest_conformers,sharded_tar_gz_v1,retain_for_diagnosis
tpu-reality-xtb-ensemble-20260825-v1,1,0000_000002_cf_0964c7b6bff7efabfc00,0,reality_commercial_bdo_14,commercial_bdo_14,chain_extender,cf_0964c7b6bff7efabfc00,2,-21.78170303,7de99e945fc4d749e51efe442fbcd6e4815e5339a9aee30c228fd54af6ae5fcd,输入构象/0000_000002_cf_0964c7b6bff7efabfc00.xyz,425cc2696575c3a0a8fe8f100a810e9ae9cffe5ed755084be7117018113f0c02,16,d814157cafd7e19b083b5f6888802352188fea5cfadaa4177b12ca1ef1b671c5,0,0,6.7.1,debf27a9e0fa4bfb5ca75aafe4b90d8211f08ec2f4a482f375a4987212eaa12a,GFN2-xTB,gas_phase,300,298.15,selected_all_crest_conformers,sharded_tar_gz_v1,retain_for_diagnosis
tpu-reality-xtb-ensemble-20260825-v1,2,0000_000003_cf_f1a6db9b28d8176e5c6b,0,reality_commercial_bdo_14,commercial_bdo_14,chain_extender,cf_f1a6db9b28d8176e5c6b,3,-21.78148029,7de99e945fc4d749e51efe442fbcd6e4815e5339a9aee30c228fd54af6ae5fcd,输入构象/0000_000003_cf_f1a6db9b28d8176e5c6b.xyz,8f27ff72dc1ffa1b214112f82fdf1e297ecaa66bc3dca0eb06d744ce6d097197,16,d814157cafd7e19b083b5f6888802352188fea5cfadaa4177b12ca1ef1b671c5,0,0,6.7.1,debf27a9e0fa4bfb5ca75aafe4b90d8211f08ec2f4a482f375a4987212eaa12a,GFN2-xTB,gas_phase,300,298.15,selected_all_crest_conformers,sharded_tar_gz_v1,retain_for_diagnosis
tpu-reality-xtb-ensemble-20260825-v1,3,0000_000004_cf_a1a7625d2d82e0fbd7b7,0,reality_commercial_bdo_14,commercial_bdo_14,chain_extender,cf_a1a7625d2d82e0fbd7b7,4,-21.78140522,7de99e945fc4d749e51efe442fbcd6e4815e5339a9aee30c228fd54af6ae5fcd,输入构象/0000_000004_cf_a1a7625d2d82e0fbd7b7.xyz,af10a40353922d156acaa5fe298f35d9605910bfa95033f1915a34de37cf4950,16,d814157cafd7e19b083b5f6888802352188fea5cfadaa4177b12ca1ef1b671c5,0,0,6.7.1,debf27a9e0fa4bfb5ca75aafe4b90d8211f08ec2f4a482f375a4987212eaa12a,GFN2-xTB,gas_phase,300,298.15,selected_all_crest_conformers,sharded_tar_gz_v1,retain_for_diagnosis
tpu-reality-xtb-ensemble-20260825-v1,4,0000_000005_cf_1b2c2aa1ab5c3bfcbc01,0,reality_commercial_bdo_14,commercial_bdo_14,chain_extender,cf_1b2c2aa1ab5c3bfcbc01,5,-21.78137688,7de99e945fc4d749e51efe442fbcd6e4815e5339a9aee30c228fd54af6ae5fcd,输入构象/0000_000005_cf_1b2c2aa1ab5c3bfcbc01.xyz,ad53e76730078e287e0a3dcc4080eb99a8e0d18897e053a72d30d3b0a047c450,16,d814157cafd7e19b083b5f6888802352188fea5cfadaa4177b12ca1ef1b671c5,0,0,6.7.1,debf27a9e0fa4bfb5ca75aafe4b90d8211f08ec2f4a482f375a4987212eaa12a,GFN2-xTB,gas_phase,300,298.15,selected_all_crest_conformers,sharded_tar_gz_v1,retain_for_diagnosis
tpu-reality-xtb-ensemble-20260825-v1,5,0000_000006_cf_53770dd168abcf2dc2e3,0,reality_commercial_bdo_14,commercial_bdo_14,chain_extender,cf_53770dd168abcf2dc2e3,6,-21.78102685,7de99e945fc4d749e51efe442fbcd6e4815e5339a9aee30c228fd54af6ae5fcd,输入构象/0000_000006_cf_53770dd168abcf2dc2e3.xyz,f63b28c3dcb56b9d442273b255c3191e48ffc70a078b7df726d19850f2fe1c9b,16,d814157cafd7e19b083b5f6888802352188fea5cfadaa4177b12ca1ef1b671c5,0,0,6.7.1,debf27a9e0fa4bfb5ca75aafe4b90d8211f08ec2f4a482f375a4987212eaa12a,GFN2-xTB,gas_phase,300,298.15,selected_all_crest_conformers,sharded_tar_gz_v1,retain_for_diagnosis
tpu-reality-xtb-ensemble-20260825-v1,6,0000_000007_cf_932f2127cac611fa01de,0,reality_commercial_bdo_14,commercial_bdo_14,chain_extender,cf_932f2127cac611fa01de,7,-21.78096357,7de99e945fc4d749e51efe442fbcd6e4815e5339a9aee30c228fd54af6ae5fcd,输入构象/0000_000007_cf_932f2127cac611fa01de.xyz,55633a8c0574f4bf41f0ba3bf19b59a88e0345c2a31f367a45aee6adb6c08fdc,16,d814157cafd7e19b083b5f6888802352188fea5cfadaa4177b12ca1ef1b671c5,0,0,6.7.1,debf27a9e0fa4bfb5ca75aafe4b90d8211f08ec2f4a482f375a4987212eaa12a,GFN2-xTB,gas_phase,300,298.15,selected_all_crest_conformers,sharded_tar_gz_v1,retain_for_diagnosis
tpu-reality-xtb-ensemble-20260825-v1,7,0000_000008_cf_10a7f73e5348fca522f6,0,reality_commercial_bdo_14,commercial_bdo_14,chain_extender,cf_10a7f73e5348fca522f6,8,-21.78086313,7de99e945fc4d749e51efe442fbcd6e4815e5339a9aee30c228fd54af6ae5fcd,输入构象/0000_000008_cf_10a7f73e5348fca522f6.xyz,c81dad9769252831c2d3ea79046056063e4b0e1e6c4f919e41de0d0aa86f3988,16,d814157cafd7e19b083b5f6888802352188fea5cfadaa4177b12ca1ef1b671c5,0,0,6.7.1,debf27a9e0fa4bfb5ca75aafe4b90d8211f08ec2f4a482f375a4987212eaa12a,GFN2-xTB,gas_phase,300,298.15,selected_all_crest_conformers,sharded_tar_gz_v1,retain_for_diagnosis
tpu-reality-xtb-ensemble-20260825-v1,8,0000_000009_cf_4cf828329d3ccbbc16d0,0,reality_commercial_bdo_14,commercial_bdo_14,chain_extender,cf_4cf828329d3ccbbc16d0,9,-21.78053376,7de99e945fc4d749e51efe442fbcd6e4815e5339a9aee30c228fd54af6ae5fcd,输入构象/0000_000009_cf_4cf828329d3ccbbc16d0.xyz,237de478fa44662d7f1a88263715591991c8ee219afdbe25246f0c2a5f4a1097,16,d814157cafd7e19b083b5f6888802352188fea5cfadaa4177b12ca1ef1b671c5,0,0,6.7.1,debf27a9e0fa4bfb5ca75aafe4b90d8211f08ec2f4a482f375a4987212eaa12a,GFN2-xTB,gas_phase,300,298.15,selected_all_crest_conformers,sharded_tar_gz_v1,retain_for_diagnosis
tpu-reality-xtb-ensemble-20260825-v1,9,0000_000010_cf_e3849ce23fe59859f04d,0,reality_commercial_bdo_14,commercial_bdo_14,chain_extender,cf_e3849ce23fe59859f04d,10,-21.78047178,7de99e945fc4d749e51efe442fbcd6e4815e5339a9aee30c228fd54af6ae5fcd,输入构象/0000_000010_cf_e3849ce23fe59859f04d.xyz,ca9e10523f360c6f7c824b5df7f642de492a4b967a4c2e1f766c2be8bb59b4e1,16,d814157cafd7e19b083b5f6888802352188fea5cfadaa4177b12ca1ef1b671c5,0,0,6.7.1,debf27a9e0fa4bfb5ca75aafe4b90d8211f08ec2f4a482f375a4987212eaa12a,GFN2-xTB,gas_phase,300,298.15,selected_all_crest_conformers,sharded_tar_gz_v1,retain_for_diagnosis
